Column1,Column2,Column3,Column4,,
CC97,,97. Care din următoarele schimbări de stare cedează energie sub formă de căldură?,,d,d
,a,Trecerea din stare lichidă în stare gazoasă.,,0,d
,b,Trecerea din stare solidă în stare gazoasă.,,0,d
,c,Trecerea din stare solidă în stare lichidă.,,0,d
,d,Trecerea din stare gazoasă în stare solidă.,X,X,d
CC98,,98. Termenul de ”punct de rouă” este definit în meteorologie ca fiind,,b,b
,a,temperatura specifică substanței la care se face trecere din stare solidă în stare lichidă.,,0,b
,b,temperatura la care trebuie răcit aerul ca vaporii de apă să îceapă să condenseze.,X,X,b
,c,cantitatea de umiditate din aer când este atinsă temperatura de condensare.,,0,
,d,temperatura radiației solului de pe timpul nopții necesară ca să apară condensarea pe solul rece.,,0,
CC99,,99. Cât de mare este gradientul temperaturii al aerului saturat (umed) în România în nivelele joase ale troposferei?,,a,a
,a,< 1°C / 100 m,X,X,a
,b,"1,0°C / 100 m",,0,
,c,"1,5°C / 100 m",,0,
,d,> 2°C / 100 m,,0,
CC100,,100. Ce are cea mai mare influență asupra gradientului temperaturii aerului saturat (umed) în timp ce acesta se ridică?,,b,b
,a,Umiditatea relativă.,,0,b
,b,Volumul de vapori care condendează.,X,X,b
,c,Diferența temperaturii bulei și temperaturii aerului din jur.,,0,
,d,Intensitatea radiației solare.,,0,
CC101,,101. De ce aerul saturat (umed) care se ridică se răcește mai lent dacât aerul nesaturat (uscat) care se ridică.,,c,c
,a,Pentru că apa se răcește mai lent de cât aerul.,,0,c
,b,"Pentru că aerul saturat (umed) se ridică mai repede , răcirea este ușor întârziată.",,0,c
,c,Pentru că energia eliberată prin condensare influențează masa de aer care se ridică.,X,X,c
,d,"Pentru că vaporii de apă sunt mai ușori ca aerul, prin urmare aerul saturat (umed) care se ridică are nevoie de mai puțină energie sub formă de căldură.",,0,
CC102,,102. Ce formă de nor este un semn de termici bune?,,b,b
,a,Cirrus,,0,b
,b,Cumulus,X,X,b
,c,Stratus,,0,
,d,Lenticular,,0,
CC103,,103. Apariția norilor altocumulus castellanus la două ore după răsărit indică,,a,a
,a,un strat instabil de aer la înălțimea norilor.,X,X,a
,b,apropierea unui front cald.,,0,
,c,centrul unui anticiclon.,,0,
,d,o regiune mare de stabilitate în straturile de jos ale troposferei.,,0,
CC104,,104. Vreme însorită la altitudini mai mari cu ceață la altitudine mică în același timp înseamnă,,d,d
,a,un nivel mic de stabilitate în partea de jos a troposferei.,,0,d
,b,un front rece care se apropie.,,0,d
,c,centrul unu ciclon.,,0,d
,d,un nivel mare de stabilitate în partea de jos a troposferei.,X,X,d
CC105,,105. Pentru care din următoarele condiții meteorologice este cea mai probabilă formarea ceții la sol (ceață de radiație)?,,c,c
,a,"Cer acoperit, vânt zero, diferență mică temperatură-punct de rouă.",,0,c
,b,"Cer senin, vânt zero, diferență mare temperatură-punct de rouă.",,0,c
,c,"Cer senin, vânt zero, diferență mică temperatură-punct de rouă.",X,X,c
,d,"Cer senin, vânt 270° 10m/s, diferență mică temperatură-punct de rouă.",,0,
CC106,,106. Norii se formează când,,c,c
,a,se evaporă mari cantități de apă (de exemplu peste ocean).,,0,c
,b,aerul cald continental este împins peste ocean.,,0,c
,c,aerul este răcit pânâ atinge punctul de rouă.,X,X,c
,d,aerul care se ridică este oprit de o inversiune.,,0,
CC107,,107. Baza norului este,,a,a
,a,nivelul de jos al norului și este la înălțimea la care temperatura aerului care urcă atinge punctul de rouă.,X,X,a
,b,nivelul de sus al norului și este la înălțimea la care temperatura aerului care urcă atinge temperatura aerului din jur.,,0,
,c,nivelul de jos al norului și este la înălțimea la care temperatura aerului care urcă atinge temperatura aerului din jur.,,0,
,d,nivelul de sus al norului și este la înălțimea la care temperatura aerului care urcă atinge punctul de rouă.,,0,
CC108,,108. Cum se numește stratul de nori care acoperă cerul și are o altitudine de 4.000 m?,,d,d
,a,Cirostratus,,0,d
,b,Altocumulus,,0,d
,c,Nimbostratus,,0,d
,d,Altostratus,X,X,d
CC109,,109. Cum se numesc norii care au formă de mici aglomerații cu baza la o altitudine de 4.500 m?,,b,b
,a,Cirostratus,,0,b
,b,Altocumulus,X,X,b
,c,Nimbostratus,,0,
,d,Altostratus,,0,
CC110,,"110. Cum se numește stratul de nori care acoperă cerul, are o altitudine de 1.000 m și generează precipitații?",,c,c
,a,Cirostratus,,0,c
,b,Cumulonimbus,,0,c
,c,Nimbostratus,X,X,c
,d,Altostratus,,0,
CC111,,111. Care din următoarele tipuri de nori are baza cel mai sus?,,b,b
,a,Cumulus,,0,b
,b,Cirocumulus,X,X,b
,c,Stratocumulus,,0,
,d,Cumulonimbus,,0,
CC112,,112. Care din următorii nori nu au partea de sus la același nivel cu ceilalți?,,c,c
,a,Cirrus,,0,c
,b,Cirocumulus,,0,c
,c,Cumulus humilis,X,X,c
,d,Cirostratus,,0,
CC113,,113. Cum se numește tipul de nori care generează precipitații?,,d,d
,a,Cirostratus,,0,d
,b,Stratocumulus,,0,d
,c,Cumulus humilis,,0,d
,d,Nimbostratus,X,X,d
CC114,,114. Care din următorii nori sunt formați în principal din cristale de gheață?,,a,a
,a,Cirocumulus,X,X,a
,b,Stratocumulus,,0,
,c,Cumulus humilis,,0,
,d,Nimbostratus,,0,
CC115,,115. Care din următoarele tipuri de nori indică prezența termicilor bune pentru zborul cu parapanta și deltaplanul?,,c,c
,a,Cirocumulus,,0,c
,b,Cumulonimbus,,0,c
,c,Cumulus humilis,X,X,c
,d,Lenticularis,,0,
CC116,,116. În apropierea cărui tip de nori este periculos zborul cu parapanta și deltaplanul?,,b,b
,a,Cirocumulus,,0,b
,b,Cumulonimbus,X,X,b
,c,Cumulus humilis,,0,
,d,Stratocumulus,,0,
CC117,,117. Norii lenticulari apar când,,a,a
,a,masa de aer curge peste un teren muntos cu viteză mare.,X,X,a
,b,termicile puternice se ridică și se răcesc urmărind adiabata uscată.,,0,
,c,aer instabil de la sufrafață se ridică repede.,,0,
,d,termicile puternice cauzează un efect de foehn.,,0,
CC118,,118. Norii lenticulari,,c,c
,a,"sunt formați exclusiv din apă, niciodată din gheață.",,0,c
,b,apar în România numai pe timpul iernii.,,0,c
,c,își schimbă foarte puțin poziția în ciuda vânturilor puternice.,X,X,c
,d,generează precipitații.,,0,
CC119,,119. Care din următoarele sunt semne vizibile din depărtare că un cumulus congestius sau cumlonimbus generează precipitații?,,a,a
,a,"O perdea gri care atârnă sub nor, orientată spre sol.",X,X,a
,b,Dezvoltarea pe verticală a norului este mai mare de cât cea pe orizontală.,,0,
,c,Urme fibroase de condensare între baza norului și sol.,,0,
,d,Baza norului are culoarea neagră.,,0,
CC120,,120. De îndată ce precipitațiile sunt vizibile sub un nor cumulus congestus sau cumulonimbus,,b,b
,a,ei devin inofensivi pentru parapantele din zona pentru că se află într-o stare de disipare.,,0,b
,b,aerul va fi răcit de evaporarea apei și vor apărea local vânturi puternice și rafaloase.,X,X,b
,c,înseamnă că sub norl nu mai este termică.,,0,
,d,vor apărea întotdeuna și descărcările electrice.,,0,
CC121,,121. Care din următoarele afirmații este falsă?,,b,b
,a,Norii cumulus congestus și cumulonimbus pot produce curenți ascendenți sau descendenți cu rafale de peste 30 m/s.,,0,b
,b,Apariția norilor cumulus congestus și cumulonimbus duce întotdeauna la căderi de grindină.,X,X,b
,c,Norii cumulonimbus pot produce bucați de grindină de mărimea pumnului.,,0,
,d,"Norii cumulus congestus și cumulonimbus pot produce, prin evaporare, mari volume de aer rece care se înfundă cu viteze mari până la sol în zonele din jurul norului.",,0,
CC122,,122. de la nivelul mării nu e întotdeauna la fel,,a,a
,a,"pentru că sunt variații de temperatură pe suprafațata pământului care răcesc sau încălzesc aerul, cauzând schimbări în densitatea aerului.",X,X,a
,b,pentru că masele de aer oceanice sunt mai umede și deci mai grele de cât masele de aer continentaleși deci produc o presiune atmosferică mai mare.â,,0,
,c,pentru că masele de aer continentale sunt mai uscate și deci mai grele de cât cele oceanice și produc o presiune mai mare.,,0,
,d,pentru că presiunea scade o dată cu cresterea vitezei fluxului de aer și vice versa.,,0,
CC123,,123. O presiunea atmosferică mărită poate fi întâlnită într-o zonă care,,b,b
,a,"este mai uscată decât zonele învecinate, pentru o perioadă mai lungă.",,0,b
,b,"este mai rece decât zonele învecinate, pentru o perioadă mai lungă.",X,X,b
,c,"primește radiație solară mai intensă decât zonele învecinate, pentru o perioadă mai lungă.",,0,
,d,"este mai caldă decât zonele învecinate, pentru o perioadă mai lungă.",,0,
CC124,,124. O presiunea atmosferică mai mică poate fi întâlnită într-o zonă care,,d,d
,a,"este mai uscată decât zonele învecinate, pentru o perioadă mai lungă.",,0,d
,b,"este mai rece decât zonele învecinate, pentru o perioadă mai lungă.",,0,d
,c,"primește radiație solară mai puțin intensă decât zonele învecinate, pentru o perioadă mai lungă.",,0,d
,d,"este mai caldă decât zonele învecinate, pentru o perioadă mai lungă.",X,X,d
CC125,,"125. În regiunea noastră, presiunea atmosferică la nivelul mării al unui ciclon însemnat poate fi",,c,c
,a,1.035 hPa,,0,c
,b,1.055 hPa,,0,c
,c,955 hPa,X,X,c
,d,915 hPa,,0,
CC126,,"126. În regiunea noastră, presiunea atmosferică la nivelul mării al unui anticiclonciclon însemnat poate fi",,a,a
,a,1.035 hPa,X,X,a
,b,1.055 hPa,,0,
,c,955 hPa,,0,
,d,915 hPa,,0,
CC127,,127. Într-un ciclon în emisfera nordică,,b,b
,a,masele de aer se învârt în sensul acelor de ceasornic și se înfundă pe o zonă mare.,,0,b
,b,masele de aer se învârt invers sensului acelor de ceasornic și se ridică pe o zonă mare.,X,X,b
,c,masele de aer se învârt în sensul acelor de ceasornic și se ridică pe o zonă mare.,,0,
,d,masele de aer se învârt invers sensului acelor de ceasornic și se înfundă pe o zonă mare.,,0,
CC128,,128. Într-un anticiclon în emisfera nordică,,a,a
,a,masele de aer se învârt în sensul acelor de ceasornic și se înfundă pe o zonă mare.,X,X,a
,b,masele de aer se învârt invers sensului acelor de ceasornic și se ridică pe o zonă mare.,,0,
,c,masele de aer se învârt în sensul acelor de ceasornic și se ridică pe o zonă mare.,,0,
,d,masele de aer se învârt invers sensului acelor de ceasornic și se înfundă pe o zonă mare.,,0,
CC129,,129. O izobară este o linie care unește punctele care,,b,b
,a,au aceeași temperatură redusă la nivelul mării.,,0,b
,b,au aceeași presiune redusă la nivelul mării.,X,X,b
,c,au aceeași înălțime cu o presiune de 500 hPa.,,0,
,d,au presiune egală pe exa dintre ciclon și anticiclon.,,0,
CC130,,130. Din distribuția izobarelor pe harta sinoptică se pot face următoarele previziuni,,c,c
,a,direcția predominantă a vântului și tendința de precipitații.,,0,c
,b,gradientul temperaturii și intensitatea vântului.,,0,c
,c,direcția și intensitatea predominantă avantlui.,X,X,c
,d,tendința de precipitații.,,0,
CC131,,131. Vântul de suprafață bate,,b,b
,a,direct de la anticiclon spre ciclon.,,0,b
,b,aproape paralel cu izobarele de la anticiclon spre ciclon.,X,X,b
,c,direct de la.,,0,
,d,aproape paralel cu izobarele de la ciclon spre anticiclon.,,0,
CC132,,"132. Când distanța dintre izobare este mică,",,c,c
,a,gradientul presiunii este mai abrupt și este probabilitate mare de vânturi slabe.,,0,c
,b,gradientul presiunii este mai plat și este probabilitate mare de vânturi slabe.,,0,c
,c,gradientul presiunii este mai abrupt și este probabilitate mare de vânturi puternice.,X,X,c
,d,gradientul presiunii este mai plat și este probabilitate mare de vânturi puternice.,,0,
CC133,,"133. Când distanța dintre izobare este mare,",,b,b
,a,gradientul presiunii este mai abrupt și este probabilitate mare de vânturi slabe.,,0,b
,b,gradientul presiunii este mai plat și este probabilitate mare de vânturi slabe.,X,X,b
,c,gradientul presiunii este mai abrupt și este probabilitate mare de vânturi puternice.,,0,
,d,gradientul presiunii este mai plat și este probabilitate mare de vânturi puternice.,,0,
CC134,,134. Termicele se dezvoltă cel mai bine,,d,d
,a,"în centrul unui ciclon, unde masele de aer au tendința să se ridice sub influența acestuia.",,0,d
,b,"unde gradientul presiunii este mai abrupt, și aerul rece este suflat în continu pe o suprafață încălzită, eliminând nevoia ca masele de aer termic să coboare din nou.",,0,d
,c,"în centrul unui anticiclon, unde datorită cerului senin radiația solară este cea mai intensă.",,0,d
,d,"unde gradientul presiunii este mai plat, aerul poate fi încălzit fără a fi agitat de vânt, și nu există inversiune.",X,X,d
CC135,,135. Vântul care bate din direcția 135° este,,d,d
,a,vânt nordvestic.,,0,d
,b,vânt nordestic.,,0,d
,c,vânt sudvestic.,,0,d
,d,vânt sudestic.,X,X,d
CC136,,136. Vântul din nordvest are ununghi de,,b,b
,a,45°,,0,b
,b,315°,X,X,b
,c,225°,,0,
,d,135°,,0,
CC137,,137. Vântul care bate cu 25 kt are,,d,d
,a,15 km/h,,0,d
,b,25 km/h,,0,d
,c,35 km/h,,0,d
,d,45 km/h,X,X,d
CC138,,138. Un vânt din 270°/10kt este,,d,d
,a,vânt estic cu o intensitate de aproximativ 18 km/h.,,0,d
,b,vânt vestic cu o intensitate de aproximativ 10 km/h.,,0,d
,c,vânt estic cu o intensitate de aproximativ 10 km/h.,,0,d
,d,vânt vestic cu o intensitate de aproximativ 18 km/h.,X,X,d
CC139,,"139. Care din următoarele afirmații este în concordanță cu prognoza direcției și intensității vântului la 1.000 m altitudine. 1000 m: 070°/15kt, 2000 m: 080°/10kt, 3000 m: 230°/10 kt, 4000 m: 240°/10 kt",,d,d
,a,"Vânt din sudvest, 28 km/h.",,0,d
,b,"Vânt din nordest, 15 km/h.",,0,d
,c,"Vânt din sudvest, 15 km/h.",,0,d
,d,"Vânt din nordest, 28 km/h.",X,X,d
CC140,,"140. Avem progoza direcției și intensității vântului pentru planoare: 070°/15kt, 2000 m: 080°/10kt, 3000 m: 230°/10 kt, 4000 m: 240°/10 kt La ce nivel este un vânt de forfecare sesizabil?",,b,b
,a,Între 1.000m și 2.000m.,,0,b
,b,Între 2.000m și 3.000m.,X,X,b
,c,Între 3.000m și 4.000m.,,0,
,d,Pe toate nivelele.,,0,
CC141,,"141. Dacă comparăm vântul de suprață cu vântul de la 3.000 m ASL pe un teren plat, vântul de suprață este în general.",,b,b
,a,mai puternic și mai turbulent.,,0,b
,b,mai slab și mai turbulent.,X,X,b
,c,mai puternic și mai puțin turbulent.,,0,
,d,mai slab și mai puțin turbulent.,,0,
CC142,,"142. Dacă comparăm vântul de suprață cu vântul de la 3.000 m ASL pe un teren plat, vântul de la 3.000 m ASL este în general",,c,c
,a,mai puternic și mai turbulent.,,0,c
,b,mai slab și mai turbulent.,,0,c
,c,mai puternic și mai puțin turbulent.,X,X,c
,d,mai slab și mai puțin turbulent.,,0,
CC143,,143. Vântul de munte (catabatic) bate,,c,c
,a,în timpul zileli și la vale (în jos).,,0,c
,b,în timpul zileli și la deal (înspre munți).,,0,c
,c,în timpul nopții și la vale (în jos).,X,X,c
,d,în timpul nopții și la deal (înspre munți).,,0,
CC144,,144. Vântul de vale (anabatic) bate,,b,b
,a,în timpul zileli și la vale (în jos).,,0,b
,b,în timpul zileli și la deal (înspre munți).,X,X,b
,c,în timpul nopții și la vale (în jos).,,0,
,d,în timpul nopții și la deal (înspre munți).,,0,
CC145,,"145. Când este vânt de vale, putem gâsi termicile",,b,b
,a,în general pe mijlocul văii.,,0,b
,b,în general pe partea de sus a fețelor văii.,X,X,b
,c,pe mijlocul văii cât și pe partea de sus a fețelor văii.,,0,
,d,nu pe mijlocul văii și nici pe partea de sus a fețelor văii.,,0,
CC146,,"146. Când este vânt de munte, putem gâsi termicile",,a,a
,a,în general pe mijlocul văii.,X,X,a
,b,în general pe partea de sus a fețelor văii.,,0,
,c,pe mijlocul văii cât și pe partea de sus a fețelor văii.,,0,
,d,nu pe mijlocul văii și nici pe partea de sus a fețelor văii.,,0,
CC147,,147. Vântul de vale se creează din cauză că aerul,,d,d
,a,se încălzește mai repede în vale decât în munți în timpul zilei.,,0,d
,b,se răcește mai repede în munți de cât în vale când slăbește radiația solară.,,0,d
,c,se răcește mai repede în vale de cât în munți când slăbește radiația solară.,,0,d
,d,se încălzește mai repede în munți decât în vale în timpul zilei.,X,X,d
CC148,,148. Vântul de munte se creează din cauză că aerul,,b,b
,a,se încălzește mai repede în vale decât în munți în timpul zilei.,,0,b
,b,se răcește mai repede în munți de cât în vale când slăbește radiația solară.,X,X,b
,c,se răcește mai repede în vale de cât în munți când slăbește radiația solară.,,0,
,d,se încălzește mai repede în munți decât în vale în timpul zilei.,,0,
CC149,,149. Aproximativ de la ce oră este probabil vântul de vale în munții Carpați?,,b,b
