Column1,Column2,Column3,Column4
,a,este obligatoriu comunicare radio pentru zborurile VFR,
,b,nu este obligatorie comunicatiile radio pentru zborurile VFR,X
,c,zborurile IFR nu sunt permise,
E27,,Aeronavele ultrausoare clasa parapanta fara comunicare radio pot zbura in spatiul aerian de clasa,
,a,G,X
,b,C,
,c,A,
E28,,28.Informatiile necesare pentru a efectua o informare de zbor sunt:,
,a,"nume, prenume, ora inceperii, nr de parapante, locatia, inaltimea, nr de telefon,",X
,b,"nume, prenume, nr de parapante, locatia, inaltimea, nr de telefon,",
,c,"nume, prenume, ora inceperii, locatia, inaltimea, nr de telefon,",
E29,,"Planificarea, respectiv efectuarea zborului este influentata de:",
,a,ploaie,X
,b,ceata,X
,c,turbulenta puternica,X
E30,,Pentru decolare se va alege o panta care sa îndeplineasca urmatoarele condi?ii:,
,a,vântul sa fie de fa?a,X
,b,între locul de decolare ?i aterizare sa nu fie obstacole ,
,c,de la locul de decolare sa se vada locul de aterizare,
E31,,La intrarea în termica:,
,a,parapanta va avea unghi de inciden?a mic,X
,b,se va frîna parapanta cât mai mult,
,c,aripa ramîne în spatele pilotului,X
E32,,Manevra de spirala poate fi periculoasa deoarece:,
,a,datorita fortei centrifuge mari parapanta se poate rupe,X
,b,pilotul poate sa le?ine,X
,c,parapanta se poate angaja,
E33,,În cazul în care doua aparate de zbor se întâlnesc se vor ocoli:,
,a,prin stânga,
,b,prin dreapta,X
,c,ambii pilo?i vor reduce viteza,
E34,,Aterizarea pe o panta cu înclina?ie mare in situa?ia în care vîntul bate perfect de fa?a se va face:,
,a,în contrapanta ,
,b,paralel cu panta,
,c,cu vânt de fa?a,X
E35,,Aripile care sunt recomandate unui elev pilot fara experien?a de zbor cu parapanta sunt cele care au omologarea:,
,a,LTF 1,X
,b,LTF 2,
,c,LTF 3,
E36,,Când calculam încarcarea voalurii luam în calcul:,
,a,greutatea parapantei,X
,b,greutatea pilotului,X
,c,greutatea seletei,X
E37,,Zborul cu parapanta în nor:,
,a,este permis doar daca norii nu au dezvoltare pe verticala,
,b,nu este permis,X
,c,este permis în cazul norilor de tip cumulus,
E38,,Modificarea unghiului de inciden?a la o parapanta se poate face prin:,
,a,prin sistemul de speed,X
,b,nu este posibil ,
,c,prin trimere,X
E39,,Viteza maxima de zbor a unei parapante poate fi influen?ata de:,
,a,forma ?i marimea seletei,X
,b,greutatea pilotului,X
,c,nu poate fi influen?at,
