Column1,Column2,Column3,Column4
,b,"neinformarea Ministerului Transporturilor, Constructiilor si Turismului cu privire la producerea incidentelor si accidentelor de aviatie civila, de catre cei care au aceasta obligatie in conformitate cu prevederile art. 90 alin. (2);",X
,c,"refuzul comandantului unei aeronave civile de a prezenta persoanelor imputernicite, in conditiile legii, documentele obligatorii prevazute la art. 17 alin. (2), art. 36 alin. (2) si la art. 73 alin. (2).",X
G27,,27.  NOTAM inseamna:,
,a,"publicatie emisa in numele statului roman sub autoritatea MTI, care contine informatii aeronautice de durata, esentiale pentru navigatia aeriana",
,b,ansamblu de informatii specifice furnizate unitatilor de trafic aerian cu privire la zborurile ce urmeaza a fi efectuate,
,c,"mesaj de notificare distribuit prin mijloace de telecomunicatii care contine informatii despre aparitia, starea, modificarea, oricarui mijloc serviciu, procedura sau hazard, informatii a caror cunoastere este esentiala pentru zbor.",X
G28,, In cazul  reinnoirii licentei de pilot aeronave ultrausoare nemotorizate durata cursului de pregatire teoretica este:,
,b,15 ore pentru o intrerupere mai mica de 5 ani;,
,c,10 ore pentru o intrerupere mai mica de 5 ani;,X
,d,25 ore pentru o intrerupere mai mica de 5 ani.,
G29,,"     Dreptul  de a efectua activitatea de inspectie in teritoriu revine conform legii, inspectorilor autorizati de catre autoritatea de certificare:",
,a,adevarat;,X
,b,fals.,
G30,,"    In cadrul procesului de examinare, inspectorul examinator, are obligatia sa verifice carnetul de zbor al persoanei  examinate:",
,a,fals deoarece doar instructorul este cel care are acces la informatiile din carnetul de zbor.;,
,b,"fals, deoarece fisa de pregatire este documentul care atesta orele de pregatire ale persoanei examinate;",
,c,adevarat.,X
G31,,  Spatiu aerian restrictionat este  :,
,a,portiunea de spatiu aerian in care zborul aeronavelor este interzis,
,b,portiunea de spatiu aerian care se afla sub responsabilitatea unei autoritati;,X
,c,portiunea de spatiu aerian in care in timpul unor perioade specificate se desfasoara activitati periculoase pentru zbor.,
G32,,   Zborul VFR al unei aeronave civile executat in intregime intr-o zona de spatiu aerian de clasa G se considera autorizat daca:,
,a,aeronava este asigurata dupa caz cf legii pt daune produse tertilor;,
,b,"operatorul aeronavei a depus plan de zbor, sau a facut informare cf legii;",X
,c,in zona aeriana de clasa G nu este necesar nici un document.,
G33,,"  Conform HG.912/2010, controlul utilizarii spatiului aerian se efectueaza de catre:",
,a,Ministerul Trasporturilor;,
,b,Ministerul Apararii;,X
,c,organele de trafic civile.,
G34,,  Examinarea practica pentru obtinerea/revalidarea si reinoirea calificarilor personalului aeronautic navigant se sustine intotdeauna dupa examinarea teoretica indiferent daca candidatul a obtinut 75% la aceasta:,
,a,adevarat,
,b,fals,X
G35,,  Operarea unei aeronave civile in spatiul aerian national pentru care nu s-a incheiat asigurare pentru pagube produse tertilor se pedepseste cu amenda de la:,
,a,20000- 35000 lei;,X
,b,40000-50000 lei;,
,c,50000 lei.,
G36,,   Inaltimea conform RACR-RA este definita ca:,
,a,"distanta verticala unui nivel punct sau obiect, considerat ca punct de la nivelul mediu al marii;",
,b,"distanta verticala unui nivel punct sau obiect, considerat ca punct masurata de la un punct de referinta specificat.",X
,c,"distanta verticala unui nivel punct sau obiect, considerat ca punct, masurat de la nivelul 0 al marii.",
G37,,  Cererea de licentiere se intocmeste de catre:,
,a,instructor;,
,b,examinatorul autorizat;,
,c,elevul pilot,X
G38,,   Intreaga responsabilitate pentru actiunile desfasurate in timpul activitatii  de zbor revine conform legii:,
,a,pilotului comandant;,X
,b,instructorilor aflati in zona;,
,c,directorilor de concurs in cazul competitiilor sportive.,X
G39,,"   In timpul procesului de pregatire, elevul pilot desfasoara activitate de zbor numai sub supravegherea instructorului:",
,a,"adevarat, deoarece instructorul este cel care stabileste temele de pregatire conform  programului de pregatire la sol si in zbor;",X
,b,"fals, elevul poate efectua zboruri si in prezenta unor piloti avansati",
,c,adevarat deoarece instructorul este singura persoana abilitata sa supravegheze activitatea de pregatire la sol si in zbor,X
G40,,     Autoritatea de certificare poate retrage anula o calificare/autorizatie de aeronave ultrausoare nemotorizate:,
,a,"nu , deoarece o calificare odata obtinuta nu poate fi retrasa;",
,b,"da, daca se constata ca titularul nu mai indeplineste conditiile minime specificate in reglementare;",X
,c,"da, daca titularul a fost implicat in actiuni de natura a afecta siguranta zborului ",X
G41,,    Zborurile VFR  se pot executa pentru desfasurarea de:,
,a,operatiuni de transport aerian public;,X
,b,operatiuni de aviatie generala;,X
,c,operatiuni de lucru aerian.,X
G42,,  Harta VFR AIP Romania cu indicativul LR-1 corespunde zonei:,
,a,Muntenia;,
,b,Transilvania;,X
,c,Moldova.,
G43,,42.   Ce cuprinde art.93 din Codul Aerian?,
,a,contraventii,X
,b,infractiuni,
,c,sanctiuni,
G44,,43.    Harta VFR AIP Romania cu indicativul LR-1 corespunde zonei:,
,a,Muntenia;,
,b,Transilvania;,X
,c,Moldova.,
G45,,Carnetul de zbor este obligatoriu in desfasurarea activitatilor de zbor cu aeronave ultrausoare  nemotorizate?,
,a,da;,X
,b,nu;,
,c,doar pe perioada de instruire.,
G46,,Documentele necesare unui pilot strain pentru  a putea desfasura activitati de zbor pe teritoriul Romaniei sunt :,
,a,licenta de pilot in termen de valabilitate;,X
,b,IPPI Card;,X
,c,aviz din partea autoritatii de certificare,
G47,,Fisa de pregatire teoretica si practica la sol si in zbor se intocmeste de catre :,
,a,inspectorul examinator,
,b, instructorul sub supravegehrea caruia s-a finalizat pregatirea,X
,c,"elevul pilot, instructorul semneaza doar documentul",
G48,,"Conform OM 630/2007 RACR-LPAN AUN 4010, testele grila in vederea examinarii sunt intocmite de catre:",
,a,autoritatea de certificare;,
,b,autoritatea de certificare prin intermediul examinatorilor;,X
,c,autoritatea de certificare prin intermediul instructorilor.,
G49,, Zborurile VFR  se executa ziua:,
,a,intre rasaritul si apusul soarelui;,X
,b,"cu 30 min dupa rasarit, si se incheie cu 30 min inainte de apus",
,c,dupa noua reglementare HG.912 nu mai exista regula.,
G50,,  Actul normativ care stabileste modul si conditiile de  certificare a personalului aeronautic in domeniul aeronavelor ultrausoare nemotorizate este:,
,a,Codul Aerian;,
,b,RACR-RA;,
,c,OM 630/2007.,X
G51,,   Asociatia de Zbor Liber din Romania este autoritate delegata de:,
,a,Directia Aviatiei Civile;,
,b,Autoritatea Aeronautica Civila;,X
,c,Ministerul Transporturilor.,
G52,, Principala autoritate din Romania in domeniul aeronavelor ultrausoare nemotorizate este:,
,a,AACR- Autoritatea Aeronautica Civila;,
,b,MTI – Ministerul Transporturilor si Infrastructurii;,
,c,AZLR – Asociatia de Zbor Liber din Romania;,X
G53,,Care este principalul act normativ care reglementeza activitatea de zbor cu aeronave ultrausoare in Romania?,
,a,OMTCT 630/2007;,X
,b,Legea 399/2005;,
,c,HG 912/2010,
G54,,"Autoritatea de certificare, daca constata ca detinatorul unei licente nu mai indeplineste conditiile specificate in reglementari:",
,a,poate suspenda licenta specifica;,X
,b,poate retrage licenta specifica;,X
,c,odata o calificare dobandita ea nu mai poate fi retrasa.,
G55,,Conform Codului Aerian în vigoare este considerat accident:,
,a,ranirea grava sau moartea atunci când persoana se afla într-o aeronava,X
,b,producerea unui infarct miocardic în interiorul unei aeronave,
,c,ranirea unui pasager clandestin aflat în interiorul calei aeronavei,
G56,,Executarea de activiati de zbor cu aeronave ultrausoare se face:,
,a,"cu asumarea responsabilitatilor de catre cei care zboara, în baza unei declaratii tip",X
,b,cu respectarea reglementarilor aeronautice specifice si generale din România,X
,c,"cu respectarea reglementarilor specifice, dar numai pentru cetatenii români.",
G57,,Pentru a putea zbura cu parapanta este necesar:,
,a,sa-ti cumperi o parapanta,
,b,sa urmezi o scoala zburând sub îndrumarea instructorului,X
,c,obtinerea licentei de pilot pentru a putea zbura nesupravegheat de un instructor,X
G58,,57.  Zborul de scoala este caracterizat ca fiind:,
,a,zborul efectuat pentru pregatire în vederea participarii la competitii,
,b,zborul efectuat în vederea pregatirii pentru depasirea unor recorduri,
,c,zborul efectuat pentru initiere sau instruire,X
G59,,"58.   Spatiul aerian national reprezinta coloana de aer situatã deasupra teritoriului de suveranitate al României, pâna la:",
,a,10.000 AGL,
,b,12.000 ASL,
,c,limita inferioara a spatiului extraatmosferic,X
G60,,59.    Executarea instruirii cu parapanta se face de catre:,
,a,orice pilot avansat,
,b,operatorul radio,
,c,instructorul licentiat,X
G61,,60. Pentru obtinerea licentei de pilot aeronave ultrusoare clasa parapanta elevul pilot trebuie sa parcurga un program de pregatire teoretica ce include un numar total de :,
,a,48 ore ;,
,b,50 ore;,X
,c,48 ore fara  dicipina telefonie,
